Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),663,663
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,5585,7398
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),10538,14984
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,958,1077
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),2136,2167
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,2248,3198
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),5062,5488
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,1101,1788
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),2175,2175
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,552,908
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),846,846
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,3873,5535
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),8993,10399
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,192,192
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,671,796
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),1367,1367
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,1763,2238
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),3747,4785
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Female-only (including Supernumerary),69P,69P
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,987,1392
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),1476,1476
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,511,553
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),830,830
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,8840,10494
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),20216,20335
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,EWS,Gender-Neutral,1887,1931
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,3628,4576
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),6849,6849
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,SC,Gender-Neutral,1650,2568
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),3531,3531
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,ST,Gender-Neutral,1221,1221
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,4174,4607
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),7679,8804
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,EWS,Gender-Neutral,661,739
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,1664,2092
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),4715,4715
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,SC,Gender-Neutral,989,992
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),2114,2114
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,ST,Gender-Neutral,619,769
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,4945,10195
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),15167,19533
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,154P,154P
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,1272,1583
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),2851,2880
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,3085,4083
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),6760,7603
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,1859,2462
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),3073,3388
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,915,1088
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),1471,1532
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,11591,14016
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),20044,22981
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,2214,2243
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,5169,5580
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),8517,8849
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,2742,2965
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),3877,3877
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,1195,1294
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),1764,1764
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,1195,2305
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),4812,5994
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,297,489
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),1160,1160
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,EWS (PwD),Gender-Neutral,41,41
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,928,1295
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),2823,3571
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Female-only (including Supernumerary),75P,75P
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,174,634
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),459,1252
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,315,474
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),684,684
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,4724,7847
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),13688,13761
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1123,1311
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),2839,2839
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,2786,4014
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),5934,5934
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2140,2370
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),2950,2950
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1063,1070
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),1581,1581
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,370,957
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),3432,3432
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,397,397
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),1085,1085
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,742,1018
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),2616,2616
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL (PwD),Gender-Neutral,56P,56P
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,24,556
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),1771,1771
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,557,557
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,601,2423
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),4813,5969
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,176,176
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Female-only (including Supernumerary),198,198
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,385,500
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),1018,1139
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,EWS (PwD),Gender-Neutral,23P,23P
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,800,1255
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),2840,3552
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,86P,86P
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,443,694
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),1124,1242
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,SC (PwD),Gender-Neutral,9,9
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,308,469
IIT Bombay,"Chemical Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),523,649
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,3133,7081
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),9368,10435
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,986,1353
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),2621,2621
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,2801,3611
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),6467,6573
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,1436,2164
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),719,719
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,910,1140
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),1540,1540
IIT Bombay,"Civil Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,2666,4095
IIT Bombay,"Civil Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),6085,8597
IIT Bombay,"Civil Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,62,202
IIT Bombay,"Civil Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,522,725
IIT Bombay,"Civil Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),1442,1643
IIT Bombay,"Civil Engineering (4 Years, B.Tech)",AI,EWS (PwD),Gender-Neutral,10P,10P
IIT Bombay,"Civil Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,973,1809
IIT Bombay,"Civil Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),3469,4597
IIT Bombay,"Civil Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,80,30P
IIT Bombay,"Civil Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,444,934
IIT Bombay,"Civil Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),824,1778
IIT Bombay,"Civil Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,23,290
IIT Bombay,"Civil Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),294,522
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,1,66
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),29,296
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,1,4
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Female-only (including Supernumerary),12,12
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,5,20
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),38,53
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,EWS (PwD),Gender-Neutral,3,3
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,6,54
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),70,331
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,2,3
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,1,31
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),111,270
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,SC (PwD),Gender-Neutral,1,1
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,2,19
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),17,76
IIT Bombay,"Computer Science and Engineering (4 Years, B.Tech)",AI,ST (PwD),Gender-Neutral,1,1
IIT Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,1531,2312
IIT Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),3744,4564
IIT Bombay,"Economics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,498,554
IIT Bombay,"Economics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),978,978
IIT Bombay,"Economics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,993,1405
IIT Bombay,"Economics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),2899,3344
IIT Bombay,"Economics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,371,855
IIT Bombay,"Economics (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),1565,1565
IIT Bombay,"Economics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,604,691
IIT Bombay,"Economics (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),564,564
IIT Bombay,"Electrical Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,106,420
IIT Bombay,"Electrical Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),779,1914
IIT Bombay,"Electrical Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,23,23
IIT Bombay,"Electrical Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,51,113
IIT Bombay,"Electrical Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),235,396
IIT Bombay,"Electrical Engineering (4 Years, B.Tech)",AI,EWS (PwD),Gender-Neutral,11,11
IIT Bombay,"Electrical Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,122,339
IIT Bombay,"Electrical Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),588,1117
IIT Bombay,"Electrical Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,20,20
IIT Bombay,"Electrical Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,57,163
IIT Bombay,"Electrical Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),345,753
IIT Bombay,"Electrical Engineering (4 Years, B.Tech)",AI,SC (PwD),Gender-Neutral,7,7
IIT Bombay,"Electrical Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,21,96
IIT Bombay,"Electrical Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),196,260
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,470,830
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),2219,3274
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),Gender-Neutral,29,29
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,178,265
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Female-only (including Supernumerary),443,621
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS (PwD),Gender-Neutral,36,36
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,417,549
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only (including Supernumerary),1211,1542
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL (PwD),Gender-Neutral,37,37
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,128,293
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only (including Supernumerary),715,998
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,168,204
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Female-only (including Supernumerary),248,248
IIT Bombay,"Energy Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,1810,2471
IIT Bombay,"Energy Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),4087,6136
IIT Bombay,"Energy Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,381,494
IIT Bombay,"Energy Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),1422,1422
IIT Bombay,"Energy Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,1089,1455
IIT Bombay,"Energy Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),3365,3818
IIT Bombay,"Energy Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,320,841
IIT Bombay,"Energy Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),2222,2222
IIT Bombay,"Energy Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,678,732
IIT Bombay,"Energy Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),1090,1090
IIT Bombay,"Engineering Physics (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,122,1490
IIT Bombay,"Engineering Physics (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),3126,5593
IIT Bombay,"Engineering Physics (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,40,40
IIT Bombay,"Engineering Physics (4 Years, B.Tech)",AI,EWS,Gender-Neutral,135,475
IIT Bombay,"Engineering Physics (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),1172,1172
IIT Bombay,"Engineering Physics (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,269,1247
IIT Bombay,"Engineering Physics (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),1588,3828
IIT Bombay,"Engineering Physics (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,26P,26P
IIT Bombay,"Engineering Physics (4 Years, B.Tech)",AI,SC,Gender-Neutral,483,850
IIT Bombay,"Engineering Physics (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),1089,1213
IIT Bombay,"Engineering Physics (4 Years, B.Tech)",AI,ST,Gender-Neutral,353,638
IIT Bombay,"Engineering Physics (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),642,642
IIT Bombay,"Environmental Science and Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,3143,4696
IIT Bombay,"Environmental Science and Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),8026,8925
IIT Bombay,"Environmental Science and Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,78P,78P
IIT Bombay,"Environmental Science and Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,802,959
IIT Bombay,"Environmental Science and Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),2412,2412
IIT Bombay,"Environmental Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,2015,2587
IIT Bombay,"Environmental Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),5175,5253
IIT Bombay,"Environmental Science and Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,1143,1375
IIT Bombay,"Environmental Science and Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),2221,2221
IIT Bombay,"Environmental Science and Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,792,821
IIT Bombay,"Environmental Science and Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),1239,1239
IIT Bombay,"Industrial Engineering and Operations Research (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,264,1133
IIT Bombay,"Industrial Engineering and Operations Research (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),2669,3012
IIT Bombay,"Industrial Engineering and Operations Research (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,58,58
IIT Bombay,"Industrial Engineering and Operations Research (4 Years, B.Tech)",AI,EWS,Gender-Neutral,161,222
IIT Bombay,"Industrial Engineering and Operations Research (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),711,711
IIT Bombay,"Industrial Engineering and Operations Research (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,668,974
